MovieID,GenreID
1,7
1,1
1,9
1,2
1,8
1,6
2,5
2,3
2,4
3,3
3,8
3,1
3,9
3,2
3,7
3,4
3,6
3,5
4,3
4,6
4,7
4,9
4,4
5,1
6,4
6,7
6,5
6,9
6,1
6,3
7,7
7,6
8,2
8,8
8,6
8,9
8,1
8,7
8,5
8,3
9,2
9,7
10,9
10,7
10,3
10,5
10,8
10,4
10,6
10,2
10,1
11,5
11,7
11,9
11,2
11,4
11,1
11,3
11,8
11,6
12,1
12,3
12,7
12,8
12,9
12,4
12,5
13,7
13,3
13,2
13,9
13,8
13,4
13,6
13,5
13,1
14,3
15,9
15,5
16,9
16,5
16,2
16,7
16,1
16,6
16,4
16,8
16,3
17,8
17,5
17,4
17,3
17,7
17,2
18,7
18,1
18,8
19,3
19,2
19,8
19,6
19,5
20,8
20,9
20,5
20,6
20,3
20,2
20,4
21,3
22,5
22,2
22,3
22,1
23,7
23,6
23,9
23,4
23,1
23,5
23,3
24,2
24,3
24,4
25,2
25,1
25,9
26,7
26,4
27,6
27,8
27,5
28,7
28,5
28,1
28,3
29,4
29,7
30,6
30,2
31,2
31,8
31,1
31,9
31,3
31,7
31,5
32,9
32,5
32,3
32,2
33,6
33,4
33,2
33,7
33,5
33,9
33,8
33,1
34,1
34,8
34,3
35,9
35,5
35,2
35,6
36,2
36,9
36,1
36,4
37,3
37,8
37,1
37,2
37,4
37,6
37,5
37,7
37,9
38,1
38,2
39,7
40,3
40,6
40,2
40,4
41,4
41,5
41,2
41,3
41,1
42,5
42,8
42,9
42,2
42,6
43,9
43,2
43,6
43,8
43,1
43,3
43,5
44,5
44,2
44,4
44,9
45,3
46,3
46,1
46,7
46,9
47,9
47,6
47,8
47,2
47,5
48,4
49,4
49,3
49,7
49,2
50,6
50,3
50,5
50,1
50,2
50,4
51,8
51,3
51,1
51,6
51,5
51,7
51,4
51,2
52,6
52,9
53,6
53,7
53,5
53,4
54,9
54,5
54,7
54,3
54,8
54,1
54,2
55,9
56,6
56,4
57,2
57,9
57,8
57,5
57,1
57,3
57,4
57,6
58,9
58,7
58,4
58,8
58,2
58,5
58,3
58,1
58,6
59,4
59,5
59,7
59,3
59,9
59,1
59,6
59,2
59,8
60,9
60,6
60,8
60,3
61,1
61,3
62,3
62,4
62,5
62,8
62,1
62,2
62,6
63,5
63,8
63,6
63,2
63,4
63,3
63,7
63,1
63,9
64,2
64,1
64,4
64,8
64,9
64,6
64,3
65,6
65,3
66,3
66,8
66,9
66,2
67,1
67,9
67,7
67,2
67,5
68,8
69,9
69,1
69,8
70,9
70,3
70,1
70,7
70,2
70,6
70,5
70,8
71,4
72,9
72,3
72,4
73,3
73,9
74,5
74,8
74,7
74,9
74,4
75,7
75,9
75,2
75,3
75,8
75,1
76,8
76,3
76,7
76,6
76,4
76,1
76,2
77,5
77,6
77,9
77,2
77,7
78,1
78,8
78,2
78,4
78,9
78,3
78,7
79,9
79,3
79,8
79,4
79,6
79,1
79,2
79,7
80,6
80,9
80,4
80,5
81,8
81,4
81,3
81,5
81,7
81,9
81,1
81,2
82,5
82,3
82,9
82,2
82,1
82,4
83,1
83,8
83,2
84,9
84,5
85,1
85,9
85,2
85,5
85,8
86,6
86,8
86,1
86,2
86,4
86,3
87,1
87,9
88,4
88,9
88,7
88,3
89,7
89,2
89,6
89,4
89,9
89,8
90,9
90,2
90,3
90,1
90,4
92,4
92,3
92,7
92,8
92,6
92,2
92,1
92,9
92,5
93,8
94,5
94,4
94,8
94,6
94,9
95,5
95,3
95,2
95,8
96,7
96,3
96,5
96,9
96,2
96,6
96,4
96,1
96,8
97,4
97,7
97,1
97,6
97,3
97,2
97,8
97,5
97,9
98,7
98,5
98,4
98,3
99,5
99,4
99,3
99,8
99,2
99,9
99,7
99,1
99,6
100,4
100,2
101,2
101,5
101,4
101,7
101,3
101,9
101,1
101,6
101,8
102,4
102,7
102,3
102,5
102,1
103,4
103,2
103,7
103,6
103,3
104,4
104,8
104,6
104,2
104,9
105,5
105,8
106,9
106,8
106,5
106,3
106,1
106,4
106,7
106,2
106,6
107,8
107,3
107,4
107,7
107,5
107,9
107,6
108,1
109,4
109,2
109,6
110,2
110,6
110,8
110,7
110,5
110,1
110,3
110,9
111,2
111,3
112,4
112,2
112,5
112,8
113,8
113,6
113,7
113,2
113,1
113,9
113,5
113,3
113,4
114,7
115,9
115,3
115,6
115,2
116,3
116,6
116,2
116,5
116,1
116,7
116,8
117,7
117,9
117,3
117,1
117,2
118,8
118,1
118,4
118,3
118,5
118,2
118,7
118,9
118,6
119,2
119,9
120,6
120,1
120,2
120,9
120,7
120,8
121,8
121,2
121,4
121,5
121,6
121,1
121,7
121,9
121,3
122,4
123,9
123,8
124,1
124,9
124,7
124,3
125,7
125,9
125,4
125,1
125,3
125,5
126,5
126,3
127,1
127,6
127,9
127,2
127,5
127,3
127,8
127,4
127,7
128,2
128,1
128,3
128,7
128,5
128,6
128,8
128,4
129,5
129,7
130,3
130,2
130,8
130,7
130,1
130,6
130,4
131,3
131,4
131,9
131,5
131,2
131,8
131,6
131,1
132,7
132,9
132,4
132,6
132,8
132,1
132,3
133,1
133,3
133,2
134,7
134,5
134,4
134,2
134,9
134,8
135,4
136,2
136,7
137,5
137,7
137,8
137,3
137,4
137,1
138,8
138,2
138,9
138,5
138,4
138,1
138,7
138,6
139,1
139,6
139,9
139,7
139,8
139,4
140,9
140,2
140,3
140,8
141,7
141,6
142,1
142,6
142,5
142,8
142,7
142,9
142,4
143,5
143,2
143,3
143,9
143,4
143,1
143,6
143,8
143,7
144,6
144,3
144,8
144,9
144,7
144,1
144,5
145,7
145,6
145,5
146,4
146,7
146,8
146,1
146,3
146,5
